gene,CellType,pair,avg_log2FC,p_val_adj
CG10962,SUB,melsec,-0.966316873743711,0.00219552920192889
CG10962,Glu_4,melsec,-0.67483723551975,6.14190125615246e-22
CG10962,Clock_3,melsec,-0.727474145188908,2.30634137492994e-05
CG10962,Clock_1,melsec,-0.674484596904883,5.90527449259763e-09
CG10962,Ach_14,melsec,-0.606937190978418,0.0212688513576416
CG10962,Glu_10,melsec,-0.961525852185364,1.41557415617879e-09
CG10962,SER,melsec,-1.69112805793808,0.0121483935281498
CG10962,fru_8,melsec,-1.3536369546147,6.26078910243461e-15
CG10962,Tk_2,melsec,-1.36969451381809,3.63162919656928e-26
CG10962,Glu_5,melsec,-0.610830884495469,2.94183838054375e-11
CG10962,AstC_FMRFa,melsec,-0.88486428927852,5.54021767781457e-05
CG10962,Tk_Mip_RYa,melsec,-0.970252656605948,0.000448713838272085
CG10962,Glu_12,melsec,-0.643856189774725,0.000794707265128125
CG10962,Tk_sNPF,melsec,-0.767826557870967,0.00187457348544491
CG10962,Glu_14,melsec,-1.02934396158214,1.21304368328877e-06
CG10962,fru_14,melsec,-1.03394733192334,0.00728750773589568
CG10962,OPN,melsec,-1.01822375861891,1.91616570546959e-62
CG10962,Glu_9,simsec,-1.05784407457228,1.68125224767119e-10
CG10962,Ach_3,simsec,-0.668090186103611,2.25425024868738e-126
CG10962,Ach_2,simsec,-0.602410003231598,5.64743563943128e-202
CG10962,GABA_5,simsec,-1.80972193660152,3.83387490264449e-17
CG10962,DOP_1,simsec,-1.16898727307593,1.26226141868148e-65
