gene,pair,correlation,value,percent_expressed
Dpp10,simsec,r,0.902754097599323,40.5606051485784
Drl-2,melsec,rho,0.833938696348305,14.7916290455266
Drl-2,melsec,r,0.854068255337923,14.7916290455266
Drl-2,melsim,rho,0.779780539494656,14.7916290455266
Drl-2,melsim,r,0.875548543979402,14.7916290455266
Drl-2,simsec,rho,0.887012113894038,14.7916290455266
Drl-2,simsec,r,0.898185326968929,14.7916290455266
Dscam2,melsec,rho,0.861615627265425,80.5473625072734
Dscam2,melsec,r,0.913819402809176,80.5473625072734
Dscam2,melsim,rho,0.937195086110621,80.5473625072734
Dscam2,melsim,r,0.950274191867692,80.5473625072734
Dscam2,simsec,rho,0.888183545915868,80.5473625072734
Dscam2,simsec,r,0.925015012188494,80.5473625072734
Dscam3,melsec,rho,0.816293542393137,24.2019302152932
Dscam3,melsec,r,0.886382126066751,24.2019302152932
Dscam3,melsim,rho,0.904775900247148,24.2019302152932
Dscam3,melsim,r,0.911459157089522,24.2019302152932
Dscam3,simsec,rho,0.885743606035396,24.2019302152932
Dscam3,simsec,r,0.923647928513877,24.2019302152932
Dscam4,melsec,rho,0.822439702972237,42.1196251931218
Dscam4,melsec,r,0.903042462159563,42.1196251931218
Dscam4,melsim,rho,0.862928348909657,42.1196251931218
Dscam4,melsim,r,0.921056643679709,42.1196251931218
Dscam4,simsec,rho,0.845471110327397,42.1196251931218
Dscam4,simsec,r,0.886840824620111,42.1196251931218
Dys,melsec,rho,0.828845729970022,50.0030096912057
Dys,melsec,r,0.849166687358689,50.0030096912057
Dys,melsim,rho,0.819412606046357,50.0030096912057
Dys,melsim,r,0.963533418045294,50.0030096912057
Dys,simsec,rho,0.765702529949672,50.0030096912057
Dys,simsec,r,0.892070519896229,50.0030096912057
Eip63E,melsec,rho,0.784507925312016,59.7664479624391
Eip63E,melsec,r,0.826717560491953,59.7664479624391
Eip63E,melsim,rho,0.817325966417837,59.7664479624391
Eip63E,melsim,r,0.883090530778103,59.7664479624391
Eip63E,simsec,rho,0.741021571739258,59.7664479624391
Eip63E,simsec,r,0.822424101515956,59.7664479624391
