gene,cluster,species,percent_expressed,n_high_expression_celltype,n_gene_per_cluster
5-HT7,NPF_AstA,Dmel,0.687,10,72
5-HT7,NPF_AstA,Dsec,0.672,10,72
5-HT7,NPF_AstA,Dsim,0.793,10,72
ASPP,NPF_AstA,Dmel,0.522,4,72
ASPP,NPF_AstA,Dsec,0.672,4,72
ASPP,NPF_AstA,Dsim,0.81,4,72
AstA,NPF_AstA,Dmel,0.985,2,72
AstA,NPF_AstA,Dsec,1,2,72
AstA,NPF_AstA,Dsim,1,2,72
AstA-R1,NPF_AstA,Dmel,1,11,72
AstA-R1,NPF_AstA,Dsec,0.839,11,72
AstA-R1,NPF_AstA,Dsim,0.931,11,72
Atg1,NPF_AstA,Dmel,0.343,11,72
Atg1,NPF_AstA,Dsec,0.344,11,72
Atg1,NPF_AstA,Dsim,0.304,11,72
BicD,NPF_AstA,Dmel,0.463,10,72
BicD,NPF_AstA,Dsec,0.377,10,72
BicD,NPF_AstA,Dsim,0.328,10,72
CG14669,NPF_AstA,Dmel,0.522,13,72
CG14669,NPF_AstA,Dsec,0.492,13,72
CG14669,NPF_AstA,Dsim,0.483,13,72
CG15082,NPF_AstA,Dmel,1,1,72
CG15082,NPF_AstA,Dsec,1,1,72
CG15082,NPF_AstA,Dsim,1,1,72
CG30419,NPF_AstA,Dmel,0.493,5,72
CG30419,NPF_AstA,Dsec,0.328,5,72
CG30419,NPF_AstA,Dsim,0.589,5,72
CG31211,NPF_AstA,Dmel,0.418,15,72
CG31211,NPF_AstA,Dsec,0.361,15,72
CG31211,NPF_AstA,Dsim,0.393,15,72
CG31323,NPF_AstA,Dmel,0.493,6,72
CG31323,NPF_AstA,Dsec,0.443,6,72
CG31323,NPF_AstA,Dsim,0.679,6,72
CG3198,NPF_AstA,Dmel,0.373,15,72
CG3198,NPF_AstA,Dsec,0.435,15,72
CG3198,NPF_AstA,Dsim,0.375,15,72
CG32052,NPF_AstA,Dmel,0.493,19,72
CG32052,NPF_AstA,Dsec,0.468,19,72
CG32052,NPF_AstA,Dsim,0.5,19,72
CG32373,NPF_AstA,Dmel,0.313,18,72
CG32373,NPF_AstA,Dsec,0.361,18,72
CG32373,NPF_AstA,Dsim,0.339,18,72
CG33229,NPF_AstA,Dmel,0.731,12,72
CG33229,NPF_AstA,Dsec,0.344,12,72
CG33229,NPF_AstA,Dsim,0.518,12,72
CG33639,NPF_AstA,Dmel,0.567,8,72
CG33639,NPF_AstA,Dsec,0.41,8,72
CG33639,NPF_AstA,Dsim,0.393,8,72
CG34109,NPF_AstA,Dmel,0.627,1,72
CG34109,NPF_AstA,Dsec,0.387,1,72
CG34109,NPF_AstA,Dsim,0.328,1,72
CG34357,NPF_AstA,Dmel,0.657,17,72
CG34357,NPF_AstA,Dsec,0.77,17,72
CG34357,NPF_AstA,Dsim,0.879,17,72
CG42671,NPF_AstA,Dmel,0.507,5,72
CG42671,NPF_AstA,Dsec,0.371,5,72
CG42671,NPF_AstA,Dsim,0.321,5,72
CG42784,NPF_AstA,Dmel,0.612,19,72
CG42784,NPF_AstA,Dsec,0.79,19,72
CG42784,NPF_AstA,Dsim,0.759,19,72
CG43850,NPF_AstA,Dmel,0.403,1,72
CG43850,NPF_AstA,Dsec,0.871,1,72
CG43850,NPF_AstA,Dsim,0.517,1,72
CG43902,NPF_AstA,Dmel,1,21,72
CG43902,NPF_AstA,Dsec,0.952,21,72
CG43902,NPF_AstA,Dsim,0.966,21,72
CG7191,NPF_AstA,Dmel,0.761,1,72
CG7191,NPF_AstA,Dsec,0.541,1,72
CG7191,NPF_AstA,Dsim,0.589,1,72
Cph,NPF_AstA,Dmel,0.403,15,72
Cph,NPF_AstA,Dsec,0.426,15,72
Cph,NPF_AstA,Dsim,0.571,15,72
Ddr,NPF_AstA,Dmel,0.448,17,72
Ddr,NPF_AstA,Dsec,0.468,17,72
Ddr,NPF_AstA,Dsim,0.586,17,72
Diap1,NPF_AstA,Dmel,0.358,4,72
Diap1,NPF_AstA,Dsec,0.371,4,72
Diap1,NPF_AstA,Dsim,0.431,4,72
Dlic,NPF_AstA,Dmel,0.358,18,72
Dlic,NPF_AstA,Dsec,0.361,18,72
Dlic,NPF_AstA,Dsim,0.379,18,72
Drl-2,NPF_AstA,Dmel,0.418,15,72
Drl-2,NPF_AstA,Dsec,0.508,15,72
Drl-2,NPF_AstA,Dsim,0.393,15,72
Eip63F-1,NPF_AstA,Dmel,0.313,16,72
Eip63F-1,NPF_AstA,Dsec,0.452,16,72
Eip63F-1,NPF_AstA,Dsim,0.31,16,72
Ets65A,NPF_AstA,Dmel,0.761,13,72
Ets65A,NPF_AstA,Dsec,0.672,13,72
Ets65A,NPF_AstA,Dsim,0.661,13,72
Ets96B,NPF_AstA,Dmel,0.478,1,72
Ets96B,NPF_AstA,Dsec,0.607,1,72
Ets96B,NPF_AstA,Dsim,0.414,1,72
Galphas,NPF_AstA,Dmel,0.328,3,72
Galphas,NPF_AstA,Dsec,0.361,3,72
Galphas,NPF_AstA,Dsim,0.446,3,72
Hcf,NPF_AstA,Dmel,0.343,15,72
Hcf,NPF_AstA,Dsec,0.355,15,72
Hcf,NPF_AstA,Dsim,0.552,15,72
LRR,NPF_AstA,Dmel,0.433,17,72
LRR,NPF_AstA,Dsec,0.452,17,72
LRR,NPF_AstA,Dsim,0.554,17,72
Moe,NPF_AstA,Dmel,0.343,8,72
Moe,NPF_AstA,Dsec,0.419,8,72
Moe,NPF_AstA,Dsim,0.393,8,72
NPF,NPF_AstA,Dmel,0.955,2,72
NPF,NPF_AstA,Dsec,0.935,2,72
NPF,NPF_AstA,Dsim,0.982,2,72
NPFR,NPF_AstA,Dmel,0.657,2,72
NPFR,NPF_AstA,Dsec,0.71,2,72
NPFR,NPF_AstA,Dsim,0.534,2,72
Nep1,NPF_AstA,Dmel,0.985,15,72
Nep1,NPF_AstA,Dsec,0.967,15,72
Nep1,NPF_AstA,Dsim,0.964,15,72
Neto,NPF_AstA,Dmel,0.866,13,72
Neto,NPF_AstA,Dsec,0.919,13,72
Neto,NPF_AstA,Dsim,0.724,13,72
Optix,NPF_AstA,Dmel,0.687,10,72
Optix,NPF_AstA,Dsec,0.726,10,72
Optix,NPF_AstA,Dsim,0.732,10,72
OtopLc,NPF_AstA,Dmel,0.343,18,72
OtopLc,NPF_AstA,Dsec,0.355,18,72
OtopLc,NPF_AstA,Dsim,0.304,18,72
Patronin,NPF_AstA,Dmel,0.328,1,72
Patronin,NPF_AstA,Dsec,0.377,1,72
Patronin,NPF_AstA,Dsim,0.321,1,72
Pde8,NPF_AstA,Dmel,0.881,14,72
Pde8,NPF_AstA,Dsec,0.705,14,72
Pde8,NPF_AstA,Dsim,0.821,14,72
Pka-C3,NPF_AstA,Dmel,0.836,4,72
Pka-C3,NPF_AstA,Dsec,0.869,4,72
Pka-C3,NPF_AstA,Dsim,0.845,4,72
Rgk2,NPF_AstA,Dmel,0.761,12,72
Rgk2,NPF_AstA,Dsec,0.387,12,72
Rgk2,NPF_AstA,Dsim,0.643,12,72
Rx,NPF_AstA,Dmel,0.91,4,72
Rx,NPF_AstA,Dsec,0.887,4,72
Rx,NPF_AstA,Dsim,0.862,4,72
SF2,NPF_AstA,Dmel,0.463,8,72
SF2,NPF_AstA,Dsec,0.475,8,72
SF2,NPF_AstA,Dsim,0.5,8,72
SP2353,NPF_AstA,Dmel,0.522,19,72
SP2353,NPF_AstA,Dsec,0.475,19,72
SP2353,NPF_AstA,Dsim,0.571,19,72
Syn1,NPF_AstA,Dmel,0.388,1,72
Syn1,NPF_AstA,Dsec,0.492,1,72
Syn1,NPF_AstA,Dsim,0.464,1,72
Tpst,NPF_AstA,Dmel,0.388,2,72
Tpst,NPF_AstA,Dsec,0.323,2,72
Tpst,NPF_AstA,Dsim,0.5,2,72
Trpm,NPF_AstA,Dmel,0.343,16,72
Trpm,NPF_AstA,Dsec,0.361,16,72
Trpm,NPF_AstA,Dsim,0.345,16,72
Tsp97E,NPF_AstA,Dmel,0.358,10,72
Tsp97E,NPF_AstA,Dsec,0.306,10,72
Tsp97E,NPF_AstA,Dsim,0.375,10,72
Ythdc1,NPF_AstA,Dmel,0.328,14,72
Ythdc1,NPF_AstA,Dsec,0.387,14,72
Ythdc1,NPF_AstA,Dsim,0.304,14,72
aop,NPF_AstA,Dmel,0.985,13,72
aop,NPF_AstA,Dsec,0.952,13,72
aop,NPF_AstA,Dsim,0.982,13,72
bin3,NPF_AstA,Dmel,0.448,1,72
bin3,NPF_AstA,Dsec,0.306,1,72
bin3,NPF_AstA,Dsim,0.31,1,72
btsz,NPF_AstA,Dmel,0.478,10,72
btsz,NPF_AstA,Dsec,0.426,10,72
btsz,NPF_AstA,Dsim,0.821,10,72
ctrip,NPF_AstA,Dmel,0.313,9,72
ctrip,NPF_AstA,Dsec,0.426,9,72
ctrip,NPF_AstA,Dsim,0.393,9,72
gprs,NPF_AstA,Dmel,0.612,21,72
gprs,NPF_AstA,Dsec,0.355,21,72
gprs,NPF_AstA,Dsim,0.362,21,72
kug,NPF_AstA,Dmel,0.642,15,72
kug,NPF_AstA,Dsec,0.656,15,72
kug,NPF_AstA,Dsim,0.707,15,72
lolal,NPF_AstA,Dmel,0.403,20,72
lolal,NPF_AstA,Dsec,0.328,20,72
lolal,NPF_AstA,Dsim,0.393,20,72
lov,NPF_AstA,Dmel,0.507,4,72
lov,NPF_AstA,Dsec,0.443,4,72
lov,NPF_AstA,Dsim,0.655,4,72
orb,NPF_AstA,Dmel,0.418,6,72
orb,NPF_AstA,Dsec,0.361,6,72
orb,NPF_AstA,Dsim,0.429,6,72
pnt,NPF_AstA,Dmel,1,5,72
pnt,NPF_AstA,Dsec,0.774,5,72
pnt,NPF_AstA,Dsim,0.857,5,72
smal,NPF_AstA,Dmel,0.582,20,72
smal,NPF_AstA,Dsec,0.328,20,72
smal,NPF_AstA,Dsim,0.393,20,72
stan,NPF_AstA,Dmel,0.358,6,72
stan,NPF_AstA,Dsec,0.344,6,72
stan,NPF_AstA,Dsim,0.411,6,72
sxc,NPF_AstA,Dmel,0.463,7,72
sxc,NPF_AstA,Dsec,0.339,7,72
sxc,NPF_AstA,Dsim,0.31,7,72
tbc,NPF_AstA,Dmel,0.731,6,72
tbc,NPF_AstA,Dsec,0.484,6,72
tbc,NPF_AstA,Dsim,0.448,6,72
vex,NPF_AstA,Dmel,0.552,14,72
vex,NPF_AstA,Dsec,0.597,14,72
vex,NPF_AstA,Dsim,0.603,14,72
vn,NPF_AstA,Dmel,0.448,2,72
vn,NPF_AstA,Dsec,0.426,2,72
vn,NPF_AstA,Dsim,0.357,2,72
wcy,NPF_AstA,Dmel,0.358,16,72
wcy,NPF_AstA,Dsec,0.311,16,72
wcy,NPF_AstA,Dsim,0.328,16,72
wts,NPF_AstA,Dmel,0.328,3,72
wts,NPF_AstA,Dsec,0.306,3,72
wts,NPF_AstA,Dsim,0.357,3,72
ASPP,NPF_Dh31,Dmel,0.372,4,30
ASPP,NPF_Dh31,Dsec,0.468,4,30
ASPP,NPF_Dh31,Dsim,0.507,4,30
AstA-R1,NPF_Dh31,Dmel,0.752,11,30
AstA-R1,NPF_Dh31,Dsec,0.596,11,30
AstA-R1,NPF_Dh31,Dsim,0.606,11,30
CARPB,NPF_Dh31,Dmel,0.853,10,30
CARPB,NPF_Dh31,Dsec,0.702,10,30
CARPB,NPF_Dh31,Dsim,0.774,10,30
CG10384,NPF_Dh31,Dmel,0.496,7,30
CG10384,NPF_Dh31,Dsec,0.543,7,30
CG10384,NPF_Dh31,Dsim,0.435,7,30
CG13784,NPF_Dh31,Dmel,0.698,19,30
CG13784,NPF_Dh31,Dsec,0.468,19,30
CG13784,NPF_Dh31,Dsim,0.403,19,30
CG32052,NPF_Dh31,Dmel,0.558,19,30
CG32052,NPF_Dh31,Dsec,0.413,19,30
CG32052,NPF_Dh31,Dsim,0.352,19,30
CG32204,NPF_Dh31,Dmel,0.434,16,30
CG32204,NPF_Dh31,Dsec,0.471,16,30
CG32204,NPF_Dh31,Dsim,0.535,16,30
CG32532,NPF_Dh31,Dmel,0.457,14,30
CG32532,NPF_Dh31,Dsec,0.413,14,30
CG32532,NPF_Dh31,Dsim,0.355,14,30
CG43902,NPF_Dh31,Dmel,0.806,21,30
CG43902,NPF_Dh31,Dsec,0.567,21,30
CG43902,NPF_Dh31,Dsim,0.507,21,30
CanB,NPF_Dh31,Dmel,0.543,8,30
CanB,NPF_Dh31,Dsec,0.317,8,30
CanB,NPF_Dh31,Dsim,0.324,8,30
Dh31,NPF_Dh31,Dmel,0.969,11,30
Dh31,NPF_Dh31,Dsec,0.856,11,30
Dh31,NPF_Dh31,Dsim,0.919,11,30
Dh44,NPF_Dh31,Dmel,0.302,10,30
Dh44,NPF_Dh31,Dsec,0.385,10,30
Dh44,NPF_Dh31,Dsim,0.38,10,30
Epac,NPF_Dh31,Dmel,0.512,9,30
Epac,NPF_Dh31,Dsec,0.553,9,30
Epac,NPF_Dh31,Dsim,0.577,9,30
Ets65A,NPF_Dh31,Dmel,0.55,13,30
Ets65A,NPF_Dh31,Dsec,0.532,13,30
Ets65A,NPF_Dh31,Dsim,0.468,13,30
Idit,NPF_Dh31,Dmel,0.403,21,30
Idit,NPF_Dh31,Dsec,0.433,21,30
Idit,NPF_Dh31,Dsim,0.387,21,30
LRR,NPF_Dh31,Dmel,0.302,17,30
LRR,NPF_Dh31,Dsec,0.351,17,30
LRR,NPF_Dh31,Dsim,0.324,17,30
NPF,NPF_Dh31,Dmel,0.891,2,30
NPF,NPF_Dh31,Dsec,0.606,2,30
NPF,NPF_Dh31,Dsim,0.629,2,30
Optix,NPF_Dh31,Dmel,0.667,10,30
Optix,NPF_Dh31,Dsec,0.564,10,30
Optix,NPF_Dh31,Dsim,0.694,10,30
Ppcs,NPF_Dh31,Dmel,0.791,7,30
Ppcs,NPF_Dh31,Dsec,0.372,7,30
Ppcs,NPF_Dh31,Dsim,0.606,7,30
SP2353,NPF_Dh31,Dmel,0.457,19,30
SP2353,NPF_Dh31,Dsec,0.337,19,30
SP2353,NPF_Dh31,Dsim,0.355,19,30
TyrR,NPF_Dh31,Dmel,0.814,4,30
TyrR,NPF_Dh31,Dsec,0.654,4,30
TyrR,NPF_Dh31,Dsim,0.371,4,30
bab2,NPF_Dh31,Dmel,0.481,6,30
bab2,NPF_Dh31,Dsec,0.34,6,30
bab2,NPF_Dh31,Dsim,0.323,6,30
haf,NPF_Dh31,Dmel,0.318,13,30
haf,NPF_Dh31,Dsec,0.365,13,30
haf,NPF_Dh31,Dsim,0.403,13,30
mod(mdg4),NPF_Dh31,Dmel,0.302,5,30
mod(mdg4),NPF_Dh31,Dsec,0.356,5,30
mod(mdg4),NPF_Dh31,Dsim,0.338,5,30
mtt,NPF_Dh31,Dmel,0.636,19,30
mtt,NPF_Dh31,Dsec,0.638,19,30
mtt,NPF_Dh31,Dsim,0.548,19,30
p120ctn,NPF_Dh31,Dmel,0.411,7,30
p120ctn,NPF_Dh31,Dsec,0.394,7,30
p120ctn,NPF_Dh31,Dsim,0.339,7,30
sli,NPF_Dh31,Dmel,0.357,17,30
sli,NPF_Dh31,Dsec,0.394,17,30
sli,NPF_Dh31,Dsim,0.38,17,30
spri,NPF_Dh31,Dmel,0.628,8,30
spri,NPF_Dh31,Dsec,0.606,8,30
spri,NPF_Dh31,Dsim,0.451,8,30
stan,NPF_Dh31,Dmel,0.434,6,30
stan,NPF_Dh31,Dsec,0.362,6,30
stan,NPF_Dh31,Dsim,0.323,6,30
zld,NPF_Dh31,Dmel,0.372,19,30
zld,NPF_Dh31,Dsec,0.532,19,30
zld,NPF_Dh31,Dsim,0.338,19,30
5-HT2A,OCTY,Dmel,0.641,11,61
5-HT2A,OCTY,Dsec,0.5,11,61
5-HT2A,OCTY,Dsim,0.667,11,61
5-HT2B,OCTY,Dmel,0.897,9,61
5-HT2B,OCTY,Dsec,0.917,9,61
5-HT2B,OCTY,Dsim,0.852,9,61
BicD,OCTY,Dmel,0.718,10,61
BicD,OCTY,Dsec,0.528,10,61
BicD,OCTY,Dsim,0.444,10,61
CAP,OCTY,Dmel,0.564,8,61
CAP,OCTY,Dsec,0.833,8,61
CAP,OCTY,Dsim,0.815,8,61
CCAP-R,OCTY,Dmel,0.564,3,61
CCAP-R,OCTY,Dsec,0.583,3,61
CCAP-R,OCTY,Dsim,0.444,3,61
CG13579,OCTY,Dmel,0.795,9,61
CG13579,OCTY,Dsec,0.611,9,61
CG13579,OCTY,Dsim,0.519,9,61
CG13784,OCTY,Dmel,0.436,19,61
CG13784,OCTY,Dsec,0.361,19,61
CG13784,OCTY,Dsim,0.37,19,61
CG14408,OCTY,Dmel,0.462,13,61
CG14408,OCTY,Dsec,0.444,13,61
CG14408,OCTY,Dsim,0.481,13,61
CG14669,OCTY,Dmel,0.333,13,61
CG14669,OCTY,Dsec,0.694,13,61
CG14669,OCTY,Dsim,0.778,13,61
CG1688,OCTY,Dmel,0.667,10,61
CG1688,OCTY,Dsec,0.333,10,61
CG1688,OCTY,Dsim,0.704,10,61
CG31211,OCTY,Dmel,0.333,15,61
CG31211,OCTY,Dsec,0.389,15,61
CG31211,OCTY,Dsim,0.37,15,61
CG31760,OCTY,Dmel,0.641,21,61
CG31760,OCTY,Dsec,0.528,21,61
CG31760,OCTY,Dsim,0.37,21,61
CG32085,OCTY,Dmel,0.513,9,61
CG32085,OCTY,Dsec,0.611,9,61
CG32085,OCTY,Dsim,0.593,9,61
CG32532,OCTY,Dmel,0.513,14,61
CG32532,OCTY,Dsec,0.583,14,61
CG32532,OCTY,Dsim,0.519,14,61
CG3257,OCTY,Dmel,0.308,1,61
CG3257,OCTY,Dsec,0.5,1,61
CG3257,OCTY,Dsim,0.481,1,61
CG33229,OCTY,Dmel,0.641,12,61
CG33229,OCTY,Dsec,0.389,12,61
CG33229,OCTY,Dsim,0.481,12,61
CG33543,OCTY,Dmel,0.949,14,61
CG33543,OCTY,Dsec,0.806,14,61
CG33543,OCTY,Dsim,0.926,14,61
CG34357,OCTY,Dmel,0.692,17,61
CG34357,OCTY,Dsec,0.611,17,61
CG34357,OCTY,Dsim,0.815,17,61
CG43707,OCTY,Dmel,0.436,14,61
CG43707,OCTY,Dsec,0.639,14,61
CG43707,OCTY,Dsim,0.37,14,61
CG43740,OCTY,Dmel,0.538,3,61
CG43740,OCTY,Dsec,0.611,3,61
CG43740,OCTY,Dsim,0.333,3,61
CG43795,OCTY,Dmel,0.667,9,61
CG43795,OCTY,Dsec,0.444,9,61
CG43795,OCTY,Dsim,0.333,9,61
CG6282,OCTY,Dmel,0.359,11,61
CG6282,OCTY,Dsec,0.5,11,61
CG6282,OCTY,Dsim,0.333,11,61
CG8910,OCTY,Dmel,0.436,6,61
CG8910,OCTY,Dsec,0.5,6,61
CG8910,OCTY,Dsim,0.667,6,61
Cph,OCTY,Dmel,0.513,15,61
Cph,OCTY,Dsec,0.583,15,61
Cph,OCTY,Dsim,0.444,15,61
Dop1R2,OCTY,Dmel,0.333,15,61
Dop1R2,OCTY,Dsec,0.639,15,61
Dop1R2,OCTY,Dsim,0.481,15,61
Efa6,OCTY,Dmel,0.385,13,61
Efa6,OCTY,Dsec,0.361,13,61
Efa6,OCTY,Dsim,0.63,13,61
Epac,OCTY,Dmel,0.385,9,61
Epac,OCTY,Dsec,0.389,9,61
Epac,OCTY,Dsim,0.37,9,61
Gycbeta100B,OCTY,Dmel,0.641,20,61
Gycbeta100B,OCTY,Dsec,0.306,20,61
Gycbeta100B,OCTY,Dsim,0.556,20,61
LRR,OCTY,Dmel,0.718,17,61
LRR,OCTY,Dsec,0.694,17,61
LRR,OCTY,Dsim,0.889,17,61
Nep1,OCTY,Dmel,0.872,15,61
Nep1,OCTY,Dsec,0.944,15,61
Nep1,OCTY,Dsim,0.889,15,61
Nep2,OCTY,Dmel,0.667,3,61
Nep2,OCTY,Dsec,0.833,3,61
Nep2,OCTY,Dsim,0.778,3,61
Neto,OCTY,Dmel,0.897,13,61
Neto,OCTY,Dsec,0.917,13,61
Neto,OCTY,Dsim,0.852,13,61
Nrt,OCTY,Dmel,0.821,6,61
Nrt,OCTY,Dsec,0.611,6,61
Nrt,OCTY,Dsim,0.481,6,61
Oct-TyrR,OCTY,Dmel,0.359,12,61
Oct-TyrR,OCTY,Dsec,0.639,12,61
Oct-TyrR,OCTY,Dsim,0.704,12,61
Octbeta1R,OCTY,Dmel,0.436,19,61
Octbeta1R,OCTY,Dsec,0.417,19,61
Octbeta1R,OCTY,Dsim,0.407,19,61
Pde8,OCTY,Dmel,0.718,14,61
Pde8,OCTY,Dsec,0.694,14,61
Pde8,OCTY,Dsim,0.741,14,61
Rgk3,OCTY,Dmel,1,21,61
Rgk3,OCTY,Dsec,0.972,21,61
Rgk3,OCTY,Dsim,0.926,21,61
Rgl,OCTY,Dmel,0.436,2,61
Rgl,OCTY,Dsec,0.639,2,61
Rgl,OCTY,Dsim,0.556,2,61
Rsf1,OCTY,Dmel,0.333,19,61
Rsf1,OCTY,Dsec,0.333,19,61
Rsf1,OCTY,Dsim,0.519,19,61
Src64B,OCTY,Dmel,0.308,7,61
Src64B,OCTY,Dsec,0.389,7,61
Src64B,OCTY,Dsim,0.37,7,61
Tbh,OCTY,Dmel,1,11,61
Tbh,OCTY,Dsec,1,11,61
Tbh,OCTY,Dsim,1,11,61
Tdc2,OCTY,Dmel,1,4,61
Tdc2,OCTY,Dsec,1,4,61
Tdc2,OCTY,Dsim,0.889,4,61
VhaAC45,OCTY,Dmel,0.436,12,61
VhaAC45,OCTY,Dsec,0.389,12,61
VhaAC45,OCTY,Dsim,0.407,12,61
Vmat,OCTY,Dmel,1,10,61
Vmat,OCTY,Dsec,1,10,61
Vmat,OCTY,Dsim,1,10,61
Xrp1,OCTY,Dmel,0.538,16,61
Xrp1,OCTY,Dsec,0.556,16,61
Xrp1,OCTY,Dsim,0.444,16,61
Yeti,OCTY,Dmel,0.333,9,61
Yeti,OCTY,Dsec,0.333,9,61
Yeti,OCTY,Dsim,0.407,9,61
da,OCTY,Dmel,0.333,12,61
da,OCTY,Dsec,0.306,12,61
da,OCTY,Dsim,0.407,12,61
dac,OCTY,Dmel,0.59,19,61
dac,OCTY,Dsec,0.778,19,61
dac,OCTY,Dsim,0.815,19,61
dpr2,OCTY,Dmel,0.333,11,61
dpr2,OCTY,Dsec,0.583,11,61
dpr2,OCTY,Dsim,0.481,11,61
gprs,OCTY,Dmel,0.564,21,61
gprs,OCTY,Dsec,0.583,21,61
gprs,OCTY,Dsim,0.667,21,61
kug,OCTY,Dmel,0.692,15,61
kug,OCTY,Dsec,0.806,15,61
kug,OCTY,Dsim,0.741,15,61
lov,OCTY,Dmel,0.615,4,61
lov,OCTY,Dsec,0.389,4,61
lov,OCTY,Dsim,0.667,4,61
metro,OCTY,Dmel,0.333,2,61
metro,OCTY,Dsec,0.417,2,61
metro,OCTY,Dsim,0.481,2,61
mtt,OCTY,Dmel,0.897,19,61
mtt,OCTY,Dsec,0.806,19,61
mtt,OCTY,Dsim,0.926,19,61
nAChRalpha2,OCTY,Dmel,0.308,1,61
nAChRalpha2,OCTY,Dsec,0.417,1,61
nAChRalpha2,OCTY,Dsim,0.333,1,61
rdo,OCTY,Dmel,0.359,8,61
rdo,OCTY,Dsec,0.611,8,61
rdo,OCTY,Dsim,0.741,8,61
rgn,OCTY,Dmel,0.487,10,61
rgn,OCTY,Dsec,0.778,10,61
rgn,OCTY,Dsim,0.667,10,61
sdk,OCTY,Dmel,0.769,7,61
sdk,OCTY,Dsec,0.889,7,61
sdk,OCTY,Dsim,0.778,7,61
side-V,OCTY,Dmel,0.641,16,61
side-V,OCTY,Dsec,0.556,16,61
side-V,OCTY,Dsim,0.593,16,61
tbc,OCTY,Dmel,0.359,6,61
tbc,OCTY,Dsec,0.389,6,61
tbc,OCTY,Dsim,0.37,6,61
wcy,OCTY,Dmel,0.436,16,61
wcy,OCTY,Dsec,0.333,16,61
wcy,OCTY,Dsim,0.444,16,61
Bx,OPN,Dmel,0.349,21,47
Bx,OPN,Dsec,0.34,21,47
Bx,OPN,Dsim,0.331,21,47
CG1090,OPN,Dmel,0.312,8,47
CG1090,OPN,Dsec,0.582,8,47
CG1090,OPN,Dsim,0.618,8,47
CG11537,OPN,Dmel,0.395,13,47
CG11537,OPN,Dsec,0.353,13,47
CG11537,OPN,Dsim,0.306,13,47
CG14431,OPN,Dmel,0.719,9,47
CG14431,OPN,Dsec,0.63,9,47
CG14431,OPN,Dsim,0.522,9,47
CG1578,OPN,Dmel,0.306,20,47
CG1578,OPN,Dsec,0.407,20,47
CG1578,OPN,Dsim,0.482,20,47
CG2225,OPN,Dmel,0.522,11,47
CG2225,OPN,Dsec,0.427,11,47
CG2225,OPN,Dsim,0.331,11,47
CG3198,OPN,Dmel,0.352,15,47
CG3198,OPN,Dsec,0.407,15,47
CG3198,OPN,Dsim,0.306,15,47
CG32373,OPN,Dmel,0.401,18,47
CG32373,OPN,Dsec,0.336,18,47
CG32373,OPN,Dsim,0.367,18,47
CG32647,OPN,Dmel,0.488,19,47
CG32647,OPN,Dsec,0.39,19,47
CG32647,OPN,Dsim,0.339,19,47
CG33543,OPN,Dmel,0.466,14,47
CG33543,OPN,Dsec,0.331,14,47
CG33543,OPN,Dsim,0.343,14,47
CG34384,OPN,Dmel,0.522,21,47
CG34384,OPN,Dsec,0.63,21,47
CG34384,OPN,Dsim,0.62,21,47
CG4238,OPN,Dmel,0.321,17,47
CG4238,OPN,Dsec,0.311,17,47
CG4238,OPN,Dsim,0.435,17,47
CG42784,OPN,Dmel,0.358,19,47
CG42784,OPN,Dsec,0.768,19,47
CG42784,OPN,Dsim,0.866,19,47
CG43066,OPN,Dmel,0.66,21,47
CG43066,OPN,Dsec,0.34,21,47
CG43066,OPN,Dsim,0.392,21,47
CG43707,OPN,Dmel,0.596,14,47
CG43707,OPN,Dsec,0.668,14,47
CG43707,OPN,Dsim,0.313,14,47
CG43902,OPN,Dmel,0.454,21,47
CG43902,OPN,Dsec,0.48,21,47
CG43902,OPN,Dsim,0.403,21,47
CG7990,OPN,Dmel,0.383,2,47
CG7990,OPN,Dsec,0.853,2,47
CG7990,OPN,Dsim,0.464,2,47
Cipc,OPN,Dmel,0.327,17,47
Cipc,OPN,Dsec,0.461,17,47
Cipc,OPN,Dsim,0.5,17,47
Cs1,OPN,Dmel,0.306,8,47
Cs1,OPN,Dsec,0.411,8,47
Cs1,OPN,Dsim,0.36,8,47
DIP-delta,OPN,Dmel,0.324,18,47
DIP-delta,OPN,Dsec,0.39,18,47
DIP-delta,OPN,Dsim,0.371,18,47
Ddr,OPN,Dmel,0.46,17,47
Ddr,OPN,Dsec,0.508,17,47
Ddr,OPN,Dsim,0.476,17,47
Eaat2,OPN,Dmel,0.386,3,47
Eaat2,OPN,Dsec,0.429,3,47
Eaat2,OPN,Dsim,0.349,3,47
Efa6,OPN,Dmel,0.463,13,47
Efa6,OPN,Dsec,0.469,13,47
Efa6,OPN,Dsim,0.476,13,47
Gycbeta100B,OPN,Dmel,0.519,20,47
Gycbeta100B,OPN,Dsec,0.503,20,47
Gycbeta100B,OPN,Dsim,0.398,20,47
Idit,OPN,Dmel,0.441,21,47
Idit,OPN,Dsec,0.497,21,47
Idit,OPN,Dsim,0.53,21,47
Octbeta1R,OPN,Dmel,0.688,19,47
Octbeta1R,OPN,Dsec,0.701,19,47
Octbeta1R,OPN,Dsim,0.602,19,47
Prp39,OPN,Dmel,0.33,21,47
Prp39,OPN,Dsec,0.411,21,47
Prp39,OPN,Dsim,0.41,21,47
Prps,OPN,Dmel,0.432,21,47
Prps,OPN,Dsec,0.492,21,47
Prps,OPN,Dsim,0.361,21,47
SF2,OPN,Dmel,0.41,8,47
