FBgn0024991	CG2694	Gene Expression
FBgn0000928	fs(1)Yb	Gene Expression
FBgn0000927	fs(1)Ya	Gene Expression
FBgn0000520	dwg	Gene Expression
FBgn0024975	CG2712	Gene Expression
FBgn0040356	CG12498	Gene Expression
FBgn0003996	w	Gene Expression
FBgn0040384	CG32795	Gene Expression
FBgn0024980	Syx4	Gene Expression
FBgn0000376	crm	Gene Expression
FBgn0024973	CG2701	Gene Expression
FBgn0024998	CG2685	Gene Expression
FBgn0024995	CG2680	Gene Expression
FBgn0024994	Ugalt	Gene Expression
FBgn0024992	Spg7	Gene Expression
FBgn0000092	dyw	Gene Expression
FBgn0025838	CG2652	Gene Expression
FBgn0011276	HLH3B	Gene Expression
FBgn0004647	N	Gene Expression
FBgn0040396	CG3939	Gene Expression
FBgn0000479	dnc	Gene Expression
FBgn0002933	ng1	Gene Expression
FBgn0003374	Sgs4	Gene Expression
FBgn0029660	CG10801	Gene Expression
FBgn0029662	CG12206	Gene Expression
FBgn0029661	CG16781	Gene Expression
FBgn0029659	CG16782	Gene Expression
FBgn0029658	CG14269	Gene Expression
FBgn0052493	tRNA:Gln-TTG-2-1	Gene Expression
FBgn0029657	CG12535	Gene Expression
FBgn0003086	Pig1	Gene Expression
FBgn0010296	ng4	Gene Expression
FBgn0010295	ng3	Gene Expression
FBgn0010294	ng2	Gene Expression
FBgn0040393	CG14265	Gene Expression
FBgn0000644	Fcp3C	Gene Expression
FBgn0028746	CG18508	Gene Expression
FBgn0040355	CG3526	Gene Expression
FBgn0052793	CG32793	Gene Expression
FBgn0029642	CG3592	Gene Expression
FBgn0025645	CG3598	Gene Expression
FBgn0029643	CG14420	Gene Expression
FBgn0029644	CG14421	Gene Expression
FBgn0029645	CG14422	Gene Expression
FBgn0029646	CG14423	Gene Expression
FBgn0029647	CG17959	Gene Expression
FBgn0029648	CG3603	Gene Expression
FBgn0028369	kirre	Gene Expression
FBgn0029649	CG4116	Gene Expression
FBgn0003285	rst	Gene Expression
FBgn0025644	CG14424	Gene Expression
FBgn0029639	CG14419	Gene Expression
FBgn0040354	CG14418	Gene Expression
FBgn0040353	CG14417	Gene Expression
FBgn0040352	CG14416	Gene Expression
FBgn0029664	CG10802	Gene Expression
FBgn0029666	CG10803	Gene Expression
FBgn0029669	CG13021	Gene Expression
FBgn0052792	ppk8	Gene Expression
FBgn0044046	Ilp7	Gene Expression
